name,url,stars,description,license,question_issues,help_wanted_issues,community_score,created_at
microsoft/TypeScript,https://github.com/microsoft/TypeScript,102253,TypeScript is a superset of JavaScript that compiles to clean JavaScript output.,Apache License 2.0,3314,2260,5574,2014-06-17
microsoft/vscode,https://github.com/microsoft/vscode,167498,Visual Studio Code,The MIT License,0,2238,2238,2015-09-03
ant-design/ant-design,https://github.com/ant-design/ant-design,93730,An enterprise-class UI design language and React UI library,The MIT License,0,1444,1444,2015-04-24
backstage/backstage,https://github.com/backstage/backstage,29348,Backstage is an open framework for building developer portals,Apache License 2.0,25,1376,1401,2020-01-24
typeorm/typeorm,https://github.com/typeorm/typeorm,34891,"ORM for TypeScript and JavaScript. Supports MySQL, PostgreSQL, MariaDB, SQLite, MS SQL Server, Oracle, SAP Hana, WebSQL databases. Works in NodeJS, Browser, Ionic, Cordova and Electron platforms.",The MIT License,1232,40,1272,2016-02-29
react-hook-form/react-hook-form,https://github.com/react-hook-form/react-hook-form,42449,ðŸ“‹ React Hooks for form state management and validation (Web + React Native),The MIT License,1102,12,1114,2019-03-05
hexojs/hexo,https://github.com/hexojs/hexo,39987,"A fast, simple & powerful blog framework, powered by Node.js.",The MIT License,610,4,614,2012-09-23
storybookjs/storybook,https://github.com/storybookjs/storybook,85876,"Storybook is the industry standard workshop for building, documenting, and testing UI components in isolation",The MIT License,0,538,538,2016-03-18
sequelize/sequelize,https://github.com/sequelize/sequelize,29783,"Feature-rich ORM for modern Node.js and TypeScript, it supports PostgreSQL (with JSON and JSONB support), MySQL, MariaDB, SQLite, MS SQL Server, Snowflake, Oracle DB (v6), DB2 and DB2 for IBM i.",The MIT License,508,0,508,2010-07-22
jestjs/jest,https://github.com/jestjs/jest,44525,Delightful JavaScript Testing.,The MIT License,0,478,478,2013-12-10
angular/angular,https://github.com/angular/angular,96972,Deliver web apps with confidence ðŸš€,The MIT License,0,432,432,2014-09-18
nuxt/nuxt,https://github.com/nuxt/nuxt,56150,The Intuitive Vue Framework.,The MIT License,403,0,403,2016-10-26
transloadit/uppy,https://github.com/transloadit/uppy,29501,The next open source file uploader for web browsers :dog: ,The MIT License,305,24,329,2015-11-16
reduxjs/redux,https://github.com/reduxjs/redux,61063,A JS library for predictable global state management,The MIT License,241,59,300,2015-05-29
ianstormtaylor/slate,https://github.com/ianstormtaylor/slate,30373,A completely customizable framework for building rich text editors. (Currently in beta.),The MIT License,286,0,286,2016-06-18
FlowiseAI/Flowise,https://github.com/FlowiseAI/Flowise,35248,Drag & drop UI to build your customized LLM flow,Apache License 2.0,205,41,246,2023-03-31
angular/angular-cli,https://github.com/angular/angular-cli,26822,CLI tool for Angular,The MIT License,0,245,245,2015-06-04
supabase/supabase,https://github.com/supabase/supabase,77625,"The open source Firebase alternative. Supabase gives you a dedicated Postgres database to build your web, mobile, and AI applications.",Apache License 2.0,8,214,222,2019-10-12
ReactiveX/rxjs,https://github.com/ReactiveX/rxjs,31023,A reactive programming library for JavaScript,Apache License 2.0,0,218,218,2015-03-15
vercel/hyper,https://github.com/vercel/hyper,43722,A terminal built on web technologies,The MIT License,0,194,194,2016-07-01
